Drug Name	Drug Indications	Disease Name	Disease Gene Names	Disease Gene Entrez Gene IDs
Sulfasalazine	For the treatment of Crohn's disease and rheumatoid arthritis as a second-line agent.	Rheumatoid arthritis	IL10;CIITA;NFKBIL1;PADI4;PTPN22;RUNX1;SLC22A4;MIF	3586;4261;4795;23569;26191;861;6583;4282
Sulfinpyrazone	For the treatment of gout and gouty arthritis.	Gout		
Sulfisoxazole	Treatment of severe, repeated, or long-lasting urinary tract infections, meningococcal meningitis, acute otitis media, trachoma, inclusion conjunctivitis, nocardiosis, chancroid, toxoplasmosis, malaria and other bacterial infections.	Conjunctivitis, ligneous	PLG	5340
Sulfisoxazole	Treatment of severe, repeated, or long-lasting urinary tract infections, meningococcal meningitis, acute otitis media, trachoma, inclusion conjunctivitis, nocardiosis, chancroid, toxoplasmosis, malaria and other bacterial infections.	Malaria	CD36;ICAM1;TNF;GYPC;NOS2A	948;3383;7124;2995;4843
Sulfisoxazole	Treatment of severe, repeated, or long-lasting urinary tract infections, meningococcal meningitis, acute otitis media, trachoma, inclusion conjunctivitis, nocardiosis, chancroid, toxoplasmosis, malaria and other bacterial infections.	Meningococcal disease	MBL2	4153
Sulfisoxazole	Treatment of severe, repeated, or long-lasting urinary tract infections, meningococcal meningitis, acute otitis media, trachoma, inclusion conjunctivitis, nocardiosis, chancroid, toxoplasmosis, malaria and other bacterial infections.	Otitis media		
Sulfisoxazole	Treatment of severe, repeated, or long-lasting urinary tract infections, meningococcal meningitis, acute otitis media, trachoma, inclusion conjunctivitis, nocardiosis, chancroid, toxoplasmosis, malaria and other bacterial infections.	Urinary tract infection		
Sulfoxone	For the treatment of leprosy and dermatitis herpetiformis	Dermatitis, atopic		
Sulfoxone	For the treatment of leprosy and dermatitis herpetiformis	Leprosy	PARK2	5071
Sulindac	For acute or long-term use in the relief of signs and symptoms of osteoarthritis, rheumatoid arthritis. ankylosing spondylitis, acute painful shoulder (acute subacromial bursitis/supraspinatus tendinitis), and acute gouty arthritis.	Gout		
Sulindac	For acute or long-term use in the relief of signs and symptoms of osteoarthritis, rheumatoid arthritis. ankylosing spondylitis, acute painful shoulder (acute subacromial bursitis/supraspinatus tendinitis), and acute gouty arthritis.	Osteoarthritis	MATN3;FRZB;ASPN;COL2A1	4148;2487;54829;1280
Sulindac	For acute or long-term use in the relief of signs and symptoms of osteoarthritis, rheumatoid arthritis. ankylosing spondylitis, acute painful shoulder (acute subacromial bursitis/supraspinatus tendinitis), and acute gouty arthritis.	Rheumatoid arthritis	IL10;CIITA;NFKBIL1;PADI4;PTPN22;RUNX1;SLC22A4;MIF	3586;4261;4795;23569;26191;861;6583;4282
Sulpiride	Sulpiride is indicated for the treatment of schizophrenia.	Schizophrenia	DISC1;TAAR6;APP;COMT;HTR2A;RTN4R;SYN2;ENTH;PRODH	27185;319100;351;1312;3356;65078;6854;9685;5625
Sumatriptan	For the treatment of migraine attacks with or without aura in adults	Migraine	ATP1A2;EDNRA;ESR1;TNF	477;1909;2099;7124
Tacrine	For the treatment of mild to moderate dementia of the Alzheimer's type.	Alzheimer disease	APP;APOE;PSEN2;APBB2;NOS3;PLAU;ACE;MPO;PAXIP1;A2M;BLMH;PSEN1	351;348;5664;323;4846;5328;1636;4353;22976;2;642;5663
Tacrine	For the treatment of mild to moderate dementia of the Alzheimer's type.	Dementia	ITM2B;PSEN1;MAPT;SNCA;SNCB;TNF	9445;5663;4137;6622;6620;7124
Tacrolimus	For use after allogenic organ transplant to reduce the activity of the patient's immune system and so the risk of organ rejection. It was first approved by the FDA in 1994 for use in liver transplantation, this has been extended to include kidney, heart, small bowel, pancreas, lung, trachea, skin, cornea, and limb transplants. It has also been used in a topical preparation in the treatment of severe atopic dermatitis.	Dermatitis, atopic		
Tamoxifen	for the treatment of breast cancer	Breast cancer	CHEK2;PIK3CA;PPM1D;SLC22A18;TP53;BRCA1;BRCA2;TSG101;BRIP1;RAD54L;CDH1;AR;KRAS;RB1CC1;PHB;ATM;BARD1;RAD51;XRCC3	11200;5290;8493;5002;7157;672;675;7251;83990;8438;999;367;3845;9821;5245;472;580;5888;7517
Telmisartan	For the treatment of hypertension.	Hypertension	KCNMB1;NR3C2;AGTR1;PTGIS;ADD1;AGT;ECE1;GNB3;RETN;HSD11B2;NOS3;CYP3A5	3779;4306;185;5740;118;183;1889;2784;56729;3291;4846;1577
Temazepam	For the short-term treatment of insomnia (generally 7-10 days).	Insomnia	GABRB3;PRNP	2562;5621
Tenecteplase	For treatment of myocardial infarction and lysis of intracoronary emboli	Myocardial infarction	F7;APOE;ACE;ALOX5AP;LGALS2;LTA;OLR1;THBD;GCLM;TNFSF4	2155;348;1636;241;3957;4049;4973;7056;2730;7292
Tenofovir	For use, in combination with other antiretroviral agents, for the treatment of HIV-1 infection.	HIV	CCL5;IL10;CCR2;CCR5	6352;3586;1231;1234
Tenofovir	For use, in combination with other antiretroviral agents, for the treatment of HIV-1 infection.	Viral infection	FCGR3A;OAS1	2214;4938
Tenoxicam	For the treatment of rheumatoid arthritis, osteoarthritis, backache, and pain.	Osteoarthritis	MATN3;FRZB;ASPN;COL2A1	4148;2487;54829;1280
Tenoxicam	For the treatment of rheumatoid arthritis, osteoarthritis, backache, and pain.	Rheumatoid arthritis	IL10;CIITA;NFKBIL1;PADI4;PTPN22;RUNX1;SLC22A4;MIF	3586;4261;4795;23569;26191;861;6583;4282
Terazosin	For the treatment of symptomatic benign prostatic hyperplasia (BPH) and also for hypertension.	Hypertension	KCNMB1;NR3C2;AGTR1;PTGIS;ADD1;AGT;ECE1;GNB3;RETN;HSD11B2;NOS3;CYP3A5	3779;4306;185;5740;118;183;1889;2784;56729;3291;4846;1577
Terbutaline	For the prevention and reversal of bronchospasm in patients 12 years of age and older with asthma and reversible bronchospasm associated with bronchitis and emphysema.	Asthma	PHF11;MS4A2;ALOX5;ADRB2;PTGDR;GPR154;HNMT;IL12B;IL13;PLA2G7;SCGB3A2;TNF;SCGB1A1	51131;2206;240;154;5729;387129;3176;3593;3596;7941;117156;7124;7356
Terbutaline	For the prevention and reversal of bronchospasm in patients 12 years of age and older with asthma and reversible bronchospasm associated with bronchitis and emphysema.	Emphysema	SERPINA1	5265
Terconazole	Candidiasis (a yeast-like fungal infection)of the vulva and vagina.	Candidiasis		
Terfenadine	For the treatment of allergic rhinitis, hay fever, and allergic skin disorders.	Allergic rhinitis	IL13	3596
Testolactone	For palliative treatment of advanced breast cancer in postmenopausal women.	Breast cancer	CHEK2;PIK3CA;PPM1D;SLC22A18;TP53;BRCA1;BRCA2;TSG101;BRIP1;RAD54L;CDH1;AR;KRAS;RB1CC1;PHB;ATM;BARD1;RAD51;XRCC3	11200;5290;8493;5002;7157;672;675;7251;83990;8438;999;367;3845;9821;5245;472;580;5888;7517
Theophylline	For the treatment of the symptoms and reversible airflow obstruction associated with chronic asthma and other chronic lung diseases, such as emphysema and chronic bronchitis.	Asthma	PHF11;MS4A2;ALOX5;ADRB2;PTGDR;GPR154;HNMT;IL12B;IL13;PLA2G7;SCGB3A2;TNF;SCGB1A1	51131;2206;240;154;5729;387129;3176;3593;3596;7941;117156;7124;7356
Theophylline	For the treatment of the symptoms and reversible airflow obstruction associated with chronic asthma and other chronic lung diseases, such as emphysema and chronic bronchitis.	Emphysema	SERPINA1	5265
Thioguanine	For remission induction and remission consolidation treatment of acute nonlymphocytic leukemias.	Leukemia	TAL1;TAL2;FLT3;NBN;ZNFN1A1;HOXD4;BCR;ARNT;KRAS;GMPS;MLLT10;ARHGEF12;PICALM;CEBPA;CHIC2;KIT;LPP;NPM1;NUP214;RUNX1;WHSC1L1;MLLT11;NUMA1;ZBTB16;PML;STAT5B;ARL11;P2RX7;ARHGAP26;NF1;PTPN11;BCL2;CCND1;TRA@;GATA1;ABL1;NQO1	6886;6887;2322;4683;10320;3233;613;405;3845;8833;8028;23365;8301;1050;26511;3815;4026;4869;8021;861;54904;10962;4926;7704;5371;6777;115761;5027;23092;4763;5781;596;595;6955;2623;25;1728
Thioridazine	For the treatment of schizophrenia and generalized anxiety disorder.	Schizophrenia	DISC1;TAAR6;APP;COMT;HTR2A;RTN4R;SYN2;ENTH;PRODH	27185;319100;351;1312;3356;65078;6854;9685;5625
Tiagabine	For the treatment of partial seizures	Seizures	SCN2A1	6325
Ticlopidine	Used to reduce the risk of thrombotic stroke (fatal or nonfatal) in patients who have experienced stroke precursors, and in patients who have had a completed thrombotic stroke.	Stroke	PDE4D;ALOX5AP	5144;241
Tiludronate	For treatment of Paget's disease of bone (osteitis deformans).	Paget disease	TNFRSF11B;SQSTM1;TNFRSF11A	4982;8878;8792
Timolol	In its oral form it is used to treat high blood pressure and prevent heart attacks, and occasionally to prevent migraine headaches. In its opthalmic form it is used to treat open-angle and occasionally secondary glaucoma.	Glaucoma	MYOC;OPTN;CYP1B1;OPA1	4653;10133;1545;4976
Timolol	In its oral form it is used to treat high blood pressure and prevent heart attacks, and occasionally to prevent migraine headaches. In its opthalmic form it is used to treat open-angle and occasionally secondary glaucoma.	Migraine	ATP1A2;EDNRA;ESR1;TNF	477;1909;2099;7124
Tioconazole	For the local treatment of vulvovaginal candidiasis (moniliasis).	Candidiasis		
Tocainide	For the treatment of documented ventricular arrhythmias, such as sustained ventricular tachycardia, that, in the judgment of the physician, are life-threatening.	Ventricular tachycardia	GNAI2;CASQ2;RYR2	2771;845;6262
Tolazamide	For use as an adjunct to diet to lower the blood glucose in patients with non-insulin dependent diabetes mellitus (Type II) whose hyperglycemia cannot be satisfactorily controlled by diet alone.	Diabetes mellitus	ABCC8;TCF1;SUMO4;PTPN22;INSR;PPARG;GCK;GCGR;GPD2;HNF4A;IRS2;MAPK8IP1;NEUROD1;TCF2;IRS1;SLC2A2;SLC2A4;CAPN10;ENPP1;RETN;PTF1A;KCNJ11;AKT2;IPF1;FOXP3;ACE;VEGF	6833;6927;387082;26191;3643;5468;2645;2642;2820;3172;8660;9479;4760;6928;3667;6514;6517;11132;5167;56729;256297;3767;208;3651;50943;1636;7422
Tolazoline	For the treatment of pulmonary artery anomalies	Pulmonary disease		
Tolcapone	For the treatment of Parkinson's Disease	Parkinson disease	NR4A2;SNCAIP;TBP;SNCA;PARK7;LRRK2;PINK1;UCHL1;PARK2;DBH;NDUFV2	4929;9627;6908;6622;11315;120892;65018;7345;5071;1621;4729
Tolmetin	For the relief of signs and symptoms of rheumatoid arthritis and osteoarthritis, including the treatment of acute flares long-term management. Also for treatment of juvenile rheumatoid arthritis.	Osteoarthritis	MATN3;FRZB;ASPN;COL2A1	4148;2487;54829;1280
Tolmetin	For the relief of signs and symptoms of rheumatoid arthritis and osteoarthritis, including the treatment of acute flares long-term management. Also for treatment of juvenile rheumatoid arthritis.	Rheumatoid arthritis	IL10;CIITA;NFKBIL1;PADI4;PTPN22;RUNX1;SLC22A4;MIF	3586;4261;4795;23569;26191;861;6583;4282
Topiramate	Used for the treatment and control of partial seizures and severe tonic-clonic (grand mal) seizures and also for the prevention of migraine headaches. In children it is also used for treatment of Lennox-Gastaut syndrome.	Migraine	ATP1A2;EDNRA;ESR1;TNF	477;1909;2099;7124
Topiramate	Used for the treatment and control of partial seizures and severe tonic-clonic (grand mal) seizures and also for the prevention of migraine headaches. In children it is also used for treatment of Lennox-Gastaut syndrome.	Seizures	SCN2A1	6325
Topotecan	For the treatment of metastatic carcinoma of the ovary and small cell lung cancer following the failure of first-line chemotherapy.	Lung cancer	KRAS;PPP2R1B;SLC22A18;MAP3K8	3845;5519;5002;1326
Topotecan	For the treatment of metastatic carcinoma of the ovary and small cell lung cancer following the failure of first-line chemotherapy.	Small-cell cancer of lung		
Torasemide	For the treatment of hypertension, edema induced by congestive heart failure or renal disease, and ascites associated with hepatic disease.	Congestive heart failure	ADRA2C;ADRB1	152;153
Torasemide	For the treatment of hypertension, edema induced by congestive heart failure or renal disease, and ascites associated with hepatic disease.	Hepatic failure, early onset, and neurologic disorder	SCO1	6341
Torasemide	For the treatment of hypertension, edema induced by congestive heart failure or renal disease, and ascites associated with hepatic disease.	Hypertension	KCNMB1;NR3C2;AGTR1;PTGIS;ADD1;AGT;ECE1;GNB3;RETN;HSD11B2;NOS3;CYP3A5	3779;4306;185;5740;118;183;1889;2784;56729;3291;4846;1577
Toremifene	For the treatment of metastatic breast cancer in postmenopausal women with estrogen receptor-positive or receptor-unknown tumors	Breast cancer	CHEK2;PIK3CA;PPM1D;SLC22A18;TP53;BRCA1;BRCA2;TSG101;BRIP1;RAD54L;CDH1;AR;KRAS;RB1CC1;PHB;ATM;BARD1;RAD51;XRCC3	11200;5290;8493;5002;7157;672;675;7251;83990;8438;999;367;3845;9821;5245;472;580;5888;7517
Torsemide	For the treatment of edema associated with congestive heart failure, renal disease, or hepatic disease. Also for the treatment of hypertension alone or in combination with other antihypertensive agents.	Congestive heart failure	ADRA2C;ADRB1	152;153
Torsemide	For the treatment of edema associated with congestive heart failure, renal disease, or hepatic disease. Also for the treatment of hypertension alone or in combination with other antihypertensive agents.	Hepatic failure, early onset, and neurologic disorder	SCO1	6341
Torsemide	For the treatment of edema associated with congestive heart failure, renal disease, or hepatic disease. Also for the treatment of hypertension alone or in combination with other antihypertensive agents.	Hypertension	KCNMB1;NR3C2;AGTR1;PTGIS;ADD1;AGT;ECE1;GNB3;RETN;HSD11B2;NOS3;CYP3A5	3779;4306;185;5740;118;183;1889;2784;56729;3291;4846;1577
Tositumomab	For treatment of non-Hodgkin's lymphoma (CD20 positive, follicular)	Rapp-Hodgkin syndrome	TP73L	8626
Tositumomab	For treatment of non-Hodgkin's lymphoma (CD20 positive, follicular)	Lymphoma	RAP1GDS1;ATM;BCL8;BCL10;RAD54B;RAD54L;FCGR2B;MAD1L1;MSH2;SH2D1A	5910;472;606;8915;25788;8438;2213;8379;4436;4068
Tositumomab	For treatment of non-Hodgkin's lymphoma (CD20 positive, follicular)	Non-Hodgkin lymphoma	CASP10	843
Trandolapril	For the treatment of hypertension.	Hypertension	KCNMB1;NR3C2;AGTR1;PTGIS;ADD1;AGT;ECE1;GNB3;RETN;HSD11B2;NOS3;CYP3A5	3779;4306;185;5740;118;183;1889;2784;56729;3291;4846;1577
Tranexamic Acid	For use in patients with hemophilia for short term use (two to eight days) to reduce or prevent hemorrhage and reduce the need for replacement therapy during and following tooth extraction.	Hemophilia	F8;F9	2157;2158
Trastuzumab	For treatment of HER2-positive metatsatic breast cancer	Breast cancer	CHEK2;PIK3CA;PPM1D;SLC22A18;TP53;BRCA1;BRCA2;TSG101;BRIP1;RAD54L;CDH1;AR;KRAS;RB1CC1;PHB;ATM;BARD1;RAD51;XRCC3	11200;5290;8493;5002;7157;672;675;7251;83990;8438;999;367;3845;9821;5245;472;580;5888;7517
Travoprost	Ophthalmic solution used for the reduction of elevated intraocular pressure in patients with open-angle glaucoma or ocular hypertension who are intolerant of other intraocular pressure lowering medications or insufficiently responsive (failed to achieve target IOP determined after multiple measurements over time)to another intraocular pressure lowering medication.	Glaucoma	MYOC;OPTN;CYP1B1;OPA1	4653;10133;1545;4976
Travoprost	Ophthalmic solution used for the reduction of elevated intraocular pressure in patients with open-angle glaucoma or ocular hypertension who are intolerant of other intraocular pressure lowering medications or insufficiently responsive (failed to achieve target IOP determined after multiple measurements over time)to another intraocular pressure lowering medication.	Hypertension	KCNMB1;NR3C2;AGTR1;PTGIS;ADD1;AGT;ECE1;GNB3;RETN;HSD11B2;NOS3;CYP3A5	3779;4306;185;5740;118;183;1889;2784;56729;3291;4846;1577
Treprostinil	For use as a continuous subcutaneous infusion or intravenous infusion (for those not able to tolerate a subcutaneous infusion) for the treatment of pulmonary arterial hypertension in patients with NYHA Class II-IV symptoms to diminish symptoms associated with exercise.	Hypertension	KCNMB1;NR3C2;AGTR1;PTGIS;ADD1;AGT;ECE1;GNB3;RETN;HSD11B2;NOS3;CYP3A5	3779;4306;185;5740;118;183;1889;2784;56729;3291;4846;1577
Treprostinil	For use as a continuous subcutaneous infusion or intravenous infusion (for those not able to tolerate a subcutaneous infusion) for the treatment of pulmonary arterial hypertension in patients with NYHA Class II-IV symptoms to diminish symptoms associated with exercise.	Pulmonary disease		
Treprostinil	For use as a continuous subcutaneous infusion or intravenous infusion (for those not able to tolerate a subcutaneous infusion) for the treatment of pulmonary arterial hypertension in patients with NYHA Class II-IV symptoms to diminish symptoms associated with exercise.	Pulmonary hypertension, familial primary	BMPR2	659
Tretinoin	For the the induction of remission in patients with acute promyelocytic leukemia (APL), French-American-British (FAB)classification M3 (including the M3 variant); For the topical treatment of acne vulgaris, flat warts and other skin conditions (psoriasis, ichthyosis congenita, icthyosis vulgaris, lamellar icthyosis, keratosis palmaris et plantaris, epidermolytic hyperkeratosis, senile comedones, senile keratosis, keratosis follicularis (Darier's disease), and basal cell carcinomas.); For palliative therapy to improve fine wrinkling, mottled hyperpigmentation, roughness associated with photodamage.	Arts syndrome		
